"","X","total_math","total_scie","female_math","female_scie","country","total_read","male_read","female_read","male_scie","male_math","Continent"
"1","Albania",395.2961849,399.0680702,394.9091271,400.8465262,"Albania",396.424292,389.7880244,402.8160945,397.2215941,395.6980464,"Europe"
"2","Argentina",395.4022408,410.3692777,388.468089,412.208893,"Argentina",403.5112273,385.3215139,419.8428203,408.3203608,403.1253228,"South_America"
"3","Australia",492.8428548,511.2505994,486.9491632,508.8334341,"Australia",500.8453028,484.1861429,518.2838524,513.5597331,498.4731367,"Oceania&Africa"
"4","Austria",507.7117526,507.2130821,496.5163192,503.0112508,"Austria",490.9180206,472.8305322,509.3201407,511.3430723,518.7157711,"Europe"
"5","Belgium",519.8689022,510.4750785,516.6887355,510.1094516,"Belgium",512.3190082,496.4030689,528.3203375,510.8387543,523.0320981,"Europe"
"6","Brazil",382.5007927,395.3218775,374.1259814,394.032508,"Brazil",400.453951,384.7619338,414.3785921,396.7748995,391.9385715,"South_America"
"7","Bulgaria",442.1583614,450.912065,442.4650938,459.6854953,"Bulgaria",442.4524084,410.2035475,476.2774355,442.5474557,441.8659219,"Europe"
"8","Canada",509.3289822,514.7129286,505.0687332,513.94346,"Canada",511.235906,492.512505,529.3741472,515.5072211,513.7266715,"North_America"
"9","Chile",444.4196443,464.572824,430.8613368,459.6619547,"Chile",459.9995723,449.3745445,470.1163413,469.7304115,458.6591107,"South_America"
"10","Colombia",386.185442,408.5937338,372.6325283,398.6931901,"Colombia",414.5490085,406.6160195,421.5891856,419.7498316,401.4570915,"South_America"
"11","Connecticut",501.1669695,515.5353348,493.8458867,507.5556898,"Connecticut",516.234779,505.5795968,526.9782289,523.4494192,508.4279025,"North_America"
"12","CostaRica",406.0937022,429.5774249,394.5218855,423.9819203,"CostaRica",440.5858328,427.7627203,451.7513234,436.0036347,419.3834637,"North_America"
"13","Croatia",469.8331208,490.0235757,463.7698563,491.4524702,"Croatia",484.1952122,460.5865104,508.2608567,488.6218121,475.78126,"Europe"
"14","Czech",519.7749777,527.6461512,513.662622,526.2976873,"Czech",513.0081706,493.6018122,532.1755701,529.0114264,525.9635357,"Europe"
"15","Denmark",486.1854531,482.0306603,479.1502873,476.8158324,"Denmark",483.9130326,467.8883327,499.628015,487.3482642,493.359271,"Europe"
"16","Estonia",521.8050499,543.1917412,519.660425,544.2872741,"Estonia",517.8044497,495.8900977,539.3640239,542.0781805,523.9849662,"Europe"
"17","Finland",507.5257762,527.9747588,507.1397559,534.4799445,"Finland",510.9055348,482.5019521,539.8875886,521.5994142,507.9040918,"Europe"
"18","Florida",464.9574905,481.6416152,457.2045178,473.99973,"Florida",489.0468823,478.2117502,499.7909629,489.3482622,472.7761664,"South_America"
"19","France",499.4704357,502.7439806,494.3412894,503.572312,"France",509.2334715,486.8620565,530.3144091,501.8649427,504.9135646,"Europe"
"20","Germany",513.9321893,523.7129444,506.6894405,523.6070859,"Germany",507.4648053,486.1645002,529.4312856,523.8155926,520.9552879,"Europe"
"21","Greece",453.8900677,467.3183098,449.8034219,473.5783896,"Greece",477.3861003,452.2217255,502.286718,460.9919208,458.0200009,"Europe"
"22","HongKong",561.2740958,555.3677352,553.3783833,552.2750019,"HongKong",544.8977347,532.8825585,558.8477934,558.0315043,568.0746676,"Asia"
"23","Hungary",485.3908401,502.3124338,479.5233341,499.8359054,"Hungary",496.6487035,477.8118393,513.6383782,505.0582208,491.8962862,"Europe"
"24","Iceland",493.1470765,478.3918048,496.0299213,481.0832363,"Iceland",482.8310689,457.2637004,508.8395076,475.7460165,490.3131211,"Europe"
"25","Indonesia",376.0717904,382.9808948,374.414599,385.281982,"Indonesia",397.6595268,383.1889591,411.6342499,380.5981615,377.7877815,"Asia"
"26","Ireland",500.9036292,521.7004092,493.2718007,519.5426378,"Ireland",523.2196337,508.0062263,537.9906866,523.9228002,508.764011,"Europe"
"27","Israel",468.8858217,473.7132865,463.238905,472.3295035,"Israel",491.2955213,468.4180371,509.3545618,475.4662851,476.0394269,"Asia"
"28","Italy",491.9041668,500.0484329,481.9515748,498.5412505,"Italy",495.2442095,476.3010487,514.9168616,501.4997267,501.4877018,"Europe"
"29","Japan",536.0645999,547.1156625,525.367581,540.0160578,"Japan",537.7570294,527.7305766,548.8090281,553.556475,545.7690125,"Asia"
"30","Jordan",382.6234866,404.7269021,393.8423313,427.2996853,"Jordan",395.8916564,355.811798,433.842792,380.8879856,370.775364,"Asia"
"31","Kazakhstan",431.5375184,426.0220692,431.3382945,430.6439106,"Kazakhstan",394.5581176,375.4431146,413.3209506,421.3134778,431.7404816,"Asia"
"32","Korea",554.2284036,537.9248577,544.9382828,536.4734863,"Korea",536.063023,524.8438907,548.9540073,539.1879984,562.313674,"Asia"
"33","Latvia",495.44925,506.2912689,496.1404418,512.5005023,"Latvia",495.5399793,469.7416316,520.5129686,499.8768199,494.7352144,"Europe"
"34","Liechtenstein",537.8997744,525.5432304,525.3215645,515.6510638,"Liechtenstein",518.3540601,505.9966684,532.2337391,534.3504497,549.0984387,"Europe"
"35","Lithuania",478.6809245,496.2550694,478.7957471,504.0722388,"Lithuania",477.6949934,449.9039094,506.1190762,488.6119869,478.568659,"Europe"
"36","Luxembourg",490.2699298,491.6989814,477.8420219,484.9454111,"Luxembourg",487.8165837,472.531639,503.6700502,498.2103616,502.2521601,"Europe"
"37","Macao",538.3130455,520.8493613,536.7923058,521.0429121,"Macao",509.2448118,492.1652416,527.1573717,520.6648112,539.7630661,"Asia"
"38","Malaysia",422.7884014,421.52871,426.3911843,426.4273857,"Malaysia",400.5231899,379.8244653,419.0125424,416.0446706,418.7551065,"Asia"
"39","Massachusetts",506.372066,519.7786037,502.1774615,518.5631789,"Massachusetts",520.2356674,503.9130284,535.4420722,521.0832473,510.8745776,"North_America"
