,Location,ST49Q01,Q1,Q2,Q3,Q4
1,Albania,,2124,2141,2169,2143
2,Albania,Always or almost always,444,345,222,285
3,Albania,Never or rarely,199,289,811,1030
4,Albania,Often,1086,995,529,482
5,Albania,Sometimes,890,973,1012,803
6,Argentina,,2234,2261,2280,2280
7,Argentina,Always or almost always,337,315,246,172
8,Argentina,Never or rarely,1735,1201,1645,2218
9,Argentina,Often,485,774,578,345
10,Argentina,Sometimes,1117,1357,1159,893
11,Australia,,5072,5078,5128,5088
12,Australia,Always or almost always,294,556,191,183
13,Australia,Never or rarely,4762,2411,6891,6905
14,Australia,Often,1221,2174,568,445
15,Australia,Sometimes,3132,4262,1703,1860
16,Austria,,1652,1653,1658,1651
17,Austria,Always or almost always,78,182,100,40
18,Austria,Never or rarely,1388,866,1195,2354
19,Austria,Often,337,681,474,97
20,Austria,Sometimes,1300,1373,1328,613
21,Belgium,,3165,3159,3174,3170
22,Belgium,Always or almost always,171,226,113,89
23,Belgium,Never or rarely,2301,1550,4088,3769
24,Belgium,Often,764,1017,278,217
25,Belgium,Sometimes,2196,2645,944,1352
26,Brazil,,7114,7192,7328,7250
27,Brazil,Always or almost always,1895,1568,1112,814
28,Brazil,Never or rarely,2232,2426,3971,6049
29,Brazil,Often,3046,3159,2412,1415
30,Brazil,Sometimes,4917,4859,4381,3676
31,Bulgaria,,1933,1948,1943,1961
32,Bulgaria,Always or almost always,257,219,206,200
33,Bulgaria,Never or rarely,1324,1232,1840,1859
34,Bulgaria,Often,425,581,331,342
35,Bulgaria,Sometimes,1343,1302,962,920
36,Canada,,7513,7530,7519,7535
37,Canada,Always or almost always,508,963,259,303
38,Canada,Never or rarely,6255,3335,11078,10035
39,Canada,Often,1856,3442,607,702
40,Canada,Sometimes,5412,6274,2081,2969
41,Chile,,2353,2348,2366,2369
42,Chile,Always or almost always,261,405,180,154
43,Chile,Never or rarely,1607,1252,2321,2701
44,Chile,Often,784,1018,552,328
45,Chile,Sometimes,1851,1833,1437,1304
46,Colombia,,3475,3509,3533,3528
47,Colombia,Always or almost always,405,510,289,260
48,Colombia,Never or rarely,1448,1127,2064,3035
49,Colombia,Often,876,1322,739,441
50,Colombia,Sometimes,2869,2605,2448,1809
51,Connecticut,,582,583,590,585
52,Connecticut,Always or almost always,38,72,29,18
53,Connecticut,Never or rarely,536,239,846,793
54,Connecticut,Often,148,292,69,60
55,Connecticut,Sometimes,393,511,163,241
56,CostaRica,,1722,1728,1732,1728
57,CostaRica,Always or almost always,314,369,393,155
58,CostaRica,Never or rarely,764,549,590,1607
59,CostaRica,Often,520,764,674,208
60,CostaRica,Sometimes,1282,1192,1213,904
61,Croatia,,1699,1697,1705,1700
62,Croatia,Always or almost always,99,146,65,55
63,Croatia,Never or rarely,1344,1055,2466,2266
64,Croatia,Often,473,577,171,189
65,Croatia,Sometimes,1393,1533,601,798
66,Czech,,1868,1870,1879,1870
67,Czech,Always or almost always,78,95,141,37
68,Czech,Never or rarely,1717,1365,2783,2524
